KEY_TABLE                                                                         INDEX_NAME                                                                        TOUCHES  READS    READ_PCT  N_DIRTY  N_BUFFERS
VARCHAR NOT NULL                                                                  VARCHAR                                                                           INTEGER  INTEGER  INTEGER  INTEGER  INTEGER
_______________________________________________________________________________

DB.DBA.ADMIN_SESSION                                                              ADMIN_SESSION                                                                     0        0        0        0        0
DB.DBA.ADM_OPT_ARRAY_TO_RS_PVIEW                                                  ADM_OPT_ARRAY_TO_RS_PVIEW                                                         0        0        0        0        0
DB.DBA.ADM_XML_VIEWS                                                              ADM_XML_VIEWS                                                                     0        0        0        0        0
DB.DBA.ALL_COL_HIST                                                               ALL_COL_HIST                                                                      0        0        0        0        0
DB.DBA.ALL_COL_STAT                                                               ALL_COL_STAT                                                                      0        0        0        0        0
DB.DBA.CLASS_LIST                                                                 CLASS_LIST                                                                        0        0        0        0        0
DB.DBA.CLI_STATUS_REPORT                                                          CLI_STATUS_REPORT                                                                 0        0        0        0        0
DB.DBA.CLR_VAC                                                                    CLR_VAC                                                                           0        1        100      0        1
DB.DBA.DAV_DIR                                                                    DAV_DIR                                                                           0        0        0        0        0
DB.DBA.DAV_PLAIN_SUBCOLS                                                          DAV_PLAIN_SUBCOLS                                                                 0        0        0        0        0
DB.DBA.DAV_PLAIN_SUBMOUNTS                                                        DAV_PLAIN_SUBMOUNTS                                                               0        0        0        0        0
DB.DBA.DEFINED_TYPES                                                              DEFINED_TYPES                                                                     0        0        0        0        0
DB.DBA.HTTP_ACL                                                                   HTTP_ACL                                                                          0        1        100      0        1
DB.DBA.HTTP_PATH                                                                  HTTP_PATH                                                                         135      1        0        0        1
DB.DBA.HTTP_PATH_DEFAULT                                                          HTTP_PATH_DEFAULT                                                                 1        1        50       0        1
DB.DBA.HTTP_PROXY_ACL                                                             HTTP_PROXY_ACL                                                                    0        0        0        0        0
DB.DBA.HTTP_VARIANT_MAP                                                           HTTP_VARIANT_MAP                                                                  0        0        0        0        0
DB.DBA.HTTP_VARIANT_MAP                                                           HTTP_VARIANT_MAP_ID                                                               0        0        0        0        0
DB.DBA.HostFs_DAV_RES_UPLOAD                                                      HostFs_DAV_RES_UPLOAD                                                             0        0        0        0        0
DB.DBA.LDLOCK                                                                     LDLOCK                                                                            1        1        50       0        1
DB.DBA.LOAD_LIST                                                                  LOAD_LIST                                                                         0        0        0        0        0
DB.DBA.LOAD_LIST                                                                  LL_STATE                                                                          0        0        0        0        0
DB.DBA.MAIL_ATTACHMENT                                                            MAIL_ATTACHMENT                                                                   0        1        100      0        1
